Metric,Value,Ideal
Entropy (Plain),5.192373,—
Entropy (Encrypted),7.999203,~8.0
Entropy (Decrypted),5.192373,—
Correlation H (Plain),+0.981100,—
Correlation V (Plain),+0.981086,—
Correlation D (Plain),+0.971551,—
Correlation H (Encrypted),-0.000050,~0
Correlation V (Encrypted),+0.000031,~0
Correlation D (Encrypted),+0.000000,~0
NPCR (%),99.6021,~99.6094
UACI (%),35.8309,~33.4635
PSNR (dB),∞ (perfect),inf (perfect)
NPCR Cropping (%),6.2252,—
UACI Cropping (%),3.1154,—
NPCR Noise (%),4.8523,—
UACI Noise (%),2.4078,—
,,
Timing,Seconds,
Key generation,0.0015,
Phase 1 — Confusion,0.1064,
Phase 2 — Diffusion,0.0030,
Phase 3 — ECC Encryption,97.8423,
Phase 4 — GA Optimization,22.6089,
Decryption,71.7027,
