Metric,Value,Ideal
Entropy (Plain),7.720610,—
Entropy (Encrypted),7.997989,~8.0
Entropy (Decrypted),7.720610,—
Correlation H (Plain),+0.984699,—
Correlation V (Plain),+0.976516,—
Correlation D (Plain),+0.963429,—
Correlation H (Encrypted),+0.000024,~0
Correlation V (Encrypted),+0.000023,~0
Correlation D (Encrypted),-0.000021,~0
NPCR (%),99.6258,~99.6094
UACI (%),32.4116,~33.4635
PSNR (dB),∞ (perfect),inf (perfect)
NPCR Cropping (%),6.2053,—
UACI Cropping (%),3.1168,—
NPCR Noise (%),4.8455,—
UACI Noise (%),2.4392,—
,,
Timing,Seconds,
Key generation,0.0025,
Phase 1 — Confusion,0.1416,
Phase 2 — Diffusion,0.0035,
Phase 3 — ECC Encryption,40.4571,
Phase 4 — GA Optimization,8.8580,
Decryption,20.6267,
