Metric,Value,Ideal
Entropy (Plain),6.789261,—
Entropy (Encrypted),7.999261,~8.0
Entropy (Decrypted),6.789261,—
Correlation H (Plain),+0.973150,—
Correlation V (Plain),+0.967595,—
Correlation D (Plain),+0.943360,—
Correlation H (Encrypted),-0.000055,~0
Correlation V (Encrypted),-0.000001,~0
Correlation D (Encrypted),-0.000014,~0
NPCR (%),99.6002,~99.6094
UACI (%),31.6600,~33.4635
PSNR (dB),∞ (perfect),inf (perfect)
NPCR Cropping (%),6.2214,—
UACI Cropping (%),3.1451,—
NPCR Noise (%),4.8599,—
UACI Noise (%),2.4244,—
,,
Timing,Seconds,
Key generation,0.0018,
Phase 1 — Confusion,0.1662,
Phase 2 — Diffusion,0.0031,
Phase 3 — ECC Encryption,77.5668,
Phase 4 — GA Optimization,13.6943,
Decryption,40.1046,
