Metric,Value,Ideal
Entropy (Plain),7.190372,—
Entropy (Encrypted),7.988247,~8.0
Entropy (Decrypted),7.190372,—
Correlation H (Plain),+0.840324,—
Correlation V (Plain),+0.867919,—
Correlation D (Plain),+0.791859,—
Correlation H (Encrypted),-0.000014,~0
Correlation V (Encrypted),+0.000004,~0
Correlation D (Encrypted),+0.000171,~0
NPCR (%),99.5911,~99.6094
UACI (%),28.7623,~33.4635
PSNR (dB),∞ (perfect),inf (perfect)
NPCR Cropping (%),6.2378,—
UACI Cropping (%),3.0927,—
NPCR Noise (%),4.8828,—
UACI Noise (%),2.4515,—
,,
Timing,Seconds,
Key generation,0.0028,
Phase 1 — Confusion,0.1052,
Phase 2 — Diffusion,0.0018,
Phase 3 — ECC Encryption,5.4679,
Phase 4 — GA Optimization,1.4788,
Decryption,3.8018,
